Player 1 Depth: 2 ,Player 2 Depth: 2
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42


Player 1 Depth: 3 ,Player 2 Depth: 2
X,1,39
X,1,39
X,1,39
X,1,39
X,1,39
X,1,39
X,1,39
X,1,39
X,1,39
X,1,39


Player 1 Depth: 3 ,Player 2 Depth: 3
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7


Player 1 Depth: 4 ,Player 2 Depth: 2
X,1,17
X,1,17
X,1,17
X,1,17
X,1,17
X,1,17
X,1,17
X,1,17
X,1,17
X,1,17


Player 1 Depth: 4 ,Player 2 Depth: 3
X,1,31
X,1,31
X,1,31
X,1,31
X,1,31
X,1,31
X,1,31
X,1,31
X,1,31
X,1,31


Player 1 Depth: 4 ,Player 2 Depth: 4
O,1,36
O,1,38
O,1,38
O,1,36
O,1,38
O,1,36
O,1,36
O,1,36
O,1,38
O,1,38


Player 1 Depth: 5 ,Player 2 Depth: 2
X,1,19
X,1,19
X,1,15
X,1,23
X,1,23
X,1,19
X,1,19
X,1,19
X,1,19
X,1,19


Player 1 Depth: 5 ,Player 2 Depth: 3
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7


Player 1 Depth: 5 ,Player 2 Depth: 4
X,1,27
X,1,27
X,1,29
X,1,27
X,1,27
X,1,27
X,1,27
X,1,27
X,1,27
X,1,27


Player 1 Depth: 5 ,Player 2 Depth: 5
O,1,36
O,1,38
O,1,38
O,1,38
O,1,38
O,1,36
O,1,38
O,1,38
O,1,36
O,1,36


Player 1 Depth: 6 ,Player 2 Depth: 2
O,1,38
O,1,34
O,1,34
O,1,34
O,1,34
O,1,34
O,1,38
O,1,34
O,1,34
O,1,38


Player 1 Depth: 6 ,Player 2 Depth: 3
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7


Player 1 Depth: 6 ,Player 2 Depth: 4
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42


Player 1 Depth: 6 ,Player 2 Depth: 5
X,1,13
X,1,17
X,1,13
X,1,13
X,1,13
X,1,13
X,1,13
X,1,19
X,1,13
X,1,13


Player 1 Depth: 6 ,Player 2 Depth: 6
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42


Player 1 Depth: 7 ,Player 2 Depth: 2
O,1,34
O,1,34
O,1,34
O,1,34
O,1,34
O,1,38
O,1,34
O,1,34
O,1,38
O,1,34


Player 1 Depth: 7 ,Player 2 Depth: 3
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7


Player 1 Depth: 7 ,Player 2 Depth: 4
X,1,27
X,1,25
X,1,27
X,1,25
X,1,27
X,1,25
X,1,25
X,1,29
X,1,25
X,1,25


Player 1 Depth: 7 ,Player 2 Depth: 5
X,1,23
X,1,17
X,1,23
X,1,19
X,1,21
X,1,25
X,1,17
X,1,23
X,1,17
X,1,21


Player 1 Depth: 7 ,Player 2 Depth: 6
X,1,33
X,1,37
X,1,37
X,1,33
X,1,35
X,1,35
X,1,33
X,1,33
X,1,33
X,1,33


Player 1 Depth: 7 ,Player 2 Depth: 7
O,1,36
O,1,38
O,1,36
O,1,38
O,1,36
O,1,36
O,1,38
O,1,40
O,1,40
O,1,36


Player 1 Depth: 8 ,Player 2 Depth: 2
X,1,31
X,1,31
X,1,31
X,1,31
X,1,31
X,1,31
X,1,31
X,1,31
X,1,31
X,1,31


Player 1 Depth: 8 ,Player 2 Depth: 3
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7


Player 1 Depth: 8 ,Player 2 Depth: 4
-,0,42
O,1,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
O,1,42
O,1,42
-,0,42


Player 1 Depth: 8 ,Player 2 Depth: 5
X,1,37
X,1,37
X,1,35
X,1,37
X,1,35
X,1,35
X,1,37
X,1,37
X,1,35
X,1,35


Player 1 Depth: 8 ,Player 2 Depth: 6
X,1,35
X,1,37
X,1,37
X,1,35
X,1,35
X,1,35
X,1,35
X,1,35
X,1,35
X,1,39


Player 1 Depth: 8 ,Player 2 Depth: 7
X,1,39
X,1,39
X,1,37
X,1,37
X,1,37
X,1,37
X,1,37
X,1,39
X,1,37
X,1,39


Player 1 Depth: 8 ,Player 2 Depth: 8
O,1,34
O,1,34
O,1,38
O,1,34
O,1,34
O,1,38
O,1,38
O,1,36
O,1,34
O,1,38


Player 1 Depth: 9 ,Player 2 Depth: 2
X,1,15
X,1,19
X,1,21
X,1,17
X,1,17
X,1,21
X,1,17
X,1,23
X,1,15
X,1,17


Player 1 Depth: 9 ,Player 2 Depth: 3
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7


Player 1 Depth: 9 ,Player 2 Depth: 4
X,1,27
X,1,31
X,1,29
X,1,29
X,1,39
X,1,27
X,1,27
X,1,27
X,1,27
X,1,27


Player 1 Depth: 9 ,Player 2 Depth: 5
X,1,37
X,1,37
X,1,37
X,1,35
X,1,35
X,1,35
X,1,37
X,1,35
X,1,37
X,1,35


Player 1 Depth: 9 ,Player 2 Depth: 6
X,1,41
X,1,41
X,1,41
X,1,39
X,1,41
X,1,39
X,1,41
X,1,39
X,1,41
X,1,41


Player 1 Depth: 9 ,Player 2 Depth: 7
X,1,39
X,1,35
X,1,35
X,1,35
X,1,35
X,1,35
X,1,39
X,1,37
X,1,35
X,1,39


Player 1 Depth: 9 ,Player 2 Depth: 8
X,1,31
X,1,29
X,1,33
X,1,35
X,1,31
X,1,31
X,1,33
X,1,37
X,1,29
X,1,33


Player 1 Depth: 9 ,Player 2 Depth: 9
X,1,29
X,1,29
X,1,29
X,1,29
X,1,29
X,1,29
X,1,35
X,1,29
X,1,33
X,1,31


