Player 1 Depth: 1 ,Player 2 Depth: 1
X,1,7
X,1,7
O,1,12
X,1,7
X,1,7
X,1,7
O,1,18
X,1,7
X,1,7
O,1,12


Player 1 Depth: 1 ,Player 2 Depth: 2
O,1,12
O,1,26
O,1,16
O,1,12
O,1,16
O,1,16
O,1,16
O,1,16
O,1,16
O,1,26


Player 1 Depth: 1 ,Player 2 Depth: 4
O,1,14
O,1,12
O,1,12
O,1,12
O,1,12
O,1,12
O,1,12
O,1,12
O,1,12
O,1,12


Player 1 Depth: 1 ,Player 2 Depth: 6
X,1,13
O,1,16
O,1,20
O,1,18
O,1,16
O,1,20
O,1,16
O,1,12
X,1,15
X,1,15


Player 1 Depth: 1 ,Player 2 Depth: 8
O,1,12
O,1,14
X,1,15
O,1,16
O,1,22
O,1,20
O,1,18
O,1,14
X,1,15
O,1,16


Player 1 Depth: 1 ,Player 2 Depth: 10
O,1,22
O,1,16
O,1,22
O,1,22
O,1,22
O,1,22
O,1,20
O,1,22
O,1,22
O,1,22


Player 1 Depth: 2 ,Player 2 Depth: 1
X,1,9
X,1,13
X,1,7
X,1,15
O,1,14
X,1,7
X,1,7
X,1,13
X,1,13
X,1,13


Player 1 Depth: 2 ,Player 2 Depth: 2
-,0,42
X,1,25
-,0,42
O,1,14
-,0,42
-,0,42
O,1,30
X,1,17
O,1,12
X,1,19


Player 1 Depth: 2 ,Player 2 Depth: 4
O,1,26
O,1,12
O,1,12
-,0,42
-,0,42
O,1,18
-,0,42
X,1,31
O,1,36
O,1,24


Player 1 Depth: 2 ,Player 2 Depth: 6
O,1,22
O,1,22
X,1,27
O,1,18
X,1,33
O,1,22
-,0,42
O,1,40
O,1,36
O,1,38


Player 1 Depth: 2 ,Player 2 Depth: 8
X,1,7
O,1,24
X,1,7
O,1,26
X,1,11
O,1,36
O,1,28
O,1,18
O,1,24
X,1,7


Player 1 Depth: 2 ,Player 2 Depth: 10
O,1,24
X,1,9
-,0,42
O,1,34
O,1,34
-,0,42
X,1,11
O,1,18
O,1,16
-,0,42


Player 1 Depth: 4 ,Player 2 Depth: 1
X,1,33
X,1,7
X,1,7
X,1,19
X,1,15
X,1,7
X,1,9
X,1,13
X,1,11
X,1,9


Player 1 Depth: 4 ,Player 2 Depth: 2
X,1,17
O,1,38
O,1,16
O,1,22
X,1,17
X,1,17
X,1,23
X,1,39
X,1,17
-,0,42


Player 1 Depth: 4 ,Player 2 Depth: 4
O,1,38
O,1,40
X,1,41
-,0,42
X,1,31
X,1,31
-,0,42
X,1,41
O,1,40
X,1,13


Player 1 Depth: 4 ,Player 2 Depth: 6
-,0,42
X,1,33
X,1,41
X,1,37
O,1,24
O,1,22
O,1,16
-,0,42
O,1,24
O,1,20


Player 1 Depth: 4 ,Player 2 Depth: 8
O,1,22
O,1,18
O,1,32
X,1,13
O,1,16
O,1,26
O,1,24
-,0,42
O,1,26
O,1,14


Player 1 Depth: 4 ,Player 2 Depth: 10
O,1,40
O,1,18
X,1,25
O,1,42
X,1,33
X,1,31
O,1,20
O,1,20
O,1,36
X,1,11


Player 1 Depth: 6 ,Player 2 Depth: 1
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,13


Player 1 Depth: 6 ,Player 2 Depth: 2
O,1,18
X,1,13
O,1,42
O,1,42
O,1,38
X,1,17
X,1,17
X,1,13
X,1,17
X,1,13


Player 1 Depth: 6 ,Player 2 Depth: 4
X,1,19
-,0,42
O,1,36
X,1,37
-,0,42
O,1,40
X,1,37
-,0,42
-,0,42
X,1,37


Player 1 Depth: 6 ,Player 2 Depth: 6
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42
-,0,42


Player 1 Depth: 6 ,Player 2 Depth: 8
X,1,13
X,1,31
O,1,20
O,1,40
O,1,32
X,1,13
O,1,22
X,1,31
O,1,20
X,1,31


Player 1 Depth: 6 ,Player 2 Depth: 10
O,1,26
O,1,24
O,1,32
O,1,32
O,1,24
O,1,22
X,1,31
O,1,24
O,1,30
O,1,22


Player 1 Depth: 8 ,Player 2 Depth: 1
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,7
X,1,15
X,1,7
X,1,7


Player 1 Depth: 8 ,Player 2 Depth: 2
X,1,17
X,1,33
X,1,29
X,1,25
X,1,27
X,1,17
X,1,15
X,1,23
X,1,25
X,1,17


Player 1 Depth: 8 ,Player 2 Depth: 4
X,1,27
X,1,29
X,1,39
X,1,31
X,1,15
X,1,33
O,1,14
X,1,41
X,1,39
X,1,15


Player 1 Depth: 8 ,Player 2 Depth: 6
X,1,39
X,1,39
X,1,39
X,1,35
X,1,35
X,1,39
X,1,35
X,1,39
X,1,35
X,1,35


Player 1 Depth: 8 ,Player 2 Depth: 8
O,1,34
O,1,30
O,1,12
O,1,40
O,1,36
O,1,40
O,1,12
X,1,15
O,1,36
-,0,42


